"","DMSO_Chromatin_rep1","DMSO_Chromatin_rep2","DMSO_Chromatin_rep3","DMSO_Cytoplasm_rep1","DMSO_Cytoplasm_rep2","DMSO_Cytoplasm_rep3","DMSO_Nucleoplasm_rep1","DMSO_Nucleoplasm_rep2","DMSO_Nucleoplasm_rep3","GSK591_Chromatin_rep1","GSK591_Chromatin_rep2","GSK591_Chromatin_rep3","GSK591_Cytoplasm_rep1","GSK591_Cytoplasm_rep2","GSK591_Cytoplasm_rep3","GSK591_Nucleoplasm_rep1","GSK591_Nucleoplasm_rep2","GSK591_Nucleoplasm_rep3"
"RALGAPA1:14:35775745:35808729",46.2496507172456,30.7197397112402,28.3266108856157,5.43115844765181,2.71641069947187,7.33197653685819,0.829029508791524,1.39627521956019,1.03399754857634,104.292312302875,205.584867668527,99.0458366781088,0,0,8.06516346477408,0.490106081218553,0.479703923769796,0
"BRMS1L:14:35834923:35862589",55.4995808606947,38.3996746390502,34.8635210899886,9.05193074608636,12.2238481476234,1.46639530737164,0,0,0,62.1315903080956,272.714620376618,97.3670936835646,1.99907238761165,1.27821426690717,0,0,0,0
"BRMS1L:14:35865761:35867905",71.6869586117306,81.9193058966404,91.51674286122,0,20.373080246039,1.46639530737164,1.1053726783887,0.930850146373458,2.41266094667813,128.701151352484,151.041943593204,85.615892721755,25.9879410389515,10.2257141352574,2.01629086619352,1.96042432487421,0.959407847539592,1.0318459529389
"MBIP:14:36299187:36300784",83.249371291042,71.6793926595604,53.384766669045,106.812782803819,74.7012942354763,133.441972970819,12.71178580147,17.220727707909,23.7819436172558,190.832741660579,111.183652922775,100.724579672653,183.914659660272,84.3621416158732,225.824577013674,34.3074256852987,24.9446040360294,12.124189947032
"MBIP:14:36300823:36308091",35.8434793058653,75.5193601234654,69.7270421799772,0,4.0746160492078,1.46639530737164,0.276343169597175,0.465425073186729,0.689331699050893,142.015063561361,213.976086757039,142.693154536258,1.99907238761165,2.55642853381434,12.0977451971611,1.47031824365566,0.479703923769796,1.28980744117362
"MBIP:14:36300823:36311572",135.280228347943,195.838340659156,156.885844904949,117.675099699123,95.0743744815153,149.572321351907,14.3698448190531,20.0132781470293,21.7139485201031,330.628819853794,360.822420805987,240.060248219823,203.905383536389,121.430355356181,254.052649140384,36.7579560913914,28.7822354261878,16.7674967352571
"MBIP:14:36312024:36314511",41.624685645521,113.919034762516,57.7427068052936,1.81038614921727,1.35820534973593,14.6639530737164,2.48708852637457,1.39627521956019,0,161.985931874678,199.291453352144,102.403322667197,35.9833029770097,2.55642853381434,16.1303269295482,2.94063648731132,2.39851961884898,2.32165339411252
"MBIP:14:36316812:36320459",28.9060316982785,42.2396421029552,61.01116190748,1.81038614921727,0,0,1.1053726783887,0.465425073186729,1.03399754857634,57.693619571803,138.455114960437,50.3622898363265,5.99721716283496,0,6.04887259858056,0.490106081218553,0.479703923769796,0.515922976469448
"SLC25A21:14:36875004:37172280",70.5307173437995,62.7194685771153,29.4160959196779,0,1.35820534973593,0,0,0.930850146373458,0.344665849525447,62.1315903080956,306.279496730663,102.403322667197,1.99907238761165,3.83464280072151,0,0.490106081218553,1.43911177130939,0.515922976469448
"MIPOL1:14:37198104:37212229",77.4681649513863,95.9991865976255,84.9798326568472,21.7246337906073,23.0894909455109,11.7311624589731,4.4214907135548,4.18882565868056,3.44665849525447,195.270712396872,184.606819947249,110.797037639918,45.978664915068,17.8949997367004,40.3258173238704,4.90106081218553,2.87822354261878,2.32165339411252
"MIPOL1:14:37198104:37219552",84.4056125589731,104.959110680071,90.4272578271579,21.7246337906073,23.0894909455109,14.6639530737164,4.4214907135548,5.11967580505402,3.79132434477991,228.555492919066,220.269501073422,134.299439563537,45.978664915068,19.1732140036075,40.3258173238704,4.90106081218553,2.87822354261878,2.32165339411252
"MIPOL1:14:37198104:37227725",108.686679185527,134.398861236676,108.948503406214,41.6388814319972,31.2387230439265,36.659882684291,4.69783388315197,6.05052595142748,4.13599019430536,246.307375864236,281.105839465129,167.874299454422,65.9693887911845,30.6771424057721,58.4724351196121,8.82190946193395,5.75644708523755,3.35349934705141
